repository,time_months,event,is_alive,first_month,last_activity_month,owner_type,has_readme,has_contributing,has_code_of_conduct,has_newcomer_labels,contributors_count,commits_count,stars,forks
open-navigation/opennav_docking,26,0,True,2024-01,2026-01,Organization,True,False,False,True,9,111,137,49
open-rmf/ament_cmake_catch2,70,1,False,2019-08,2025-06,Organization,True,False,False,True,7,21,2,3
open-rmf/menge_vendor,60,1,False,2020-06,2025-06,Organization,True,False,False,True,5,17,3,5
open-rmf/nlohmann_json_schema_validator_vendor,44,1,False,2021-10,2025-06,Organization,True,False,False,True,5,25,0,3
open-rmf/rmf_api_msgs,45,1,False,2021-09,2025-06,Organization,True,False,False,True,11,46,2,9
open-rmf/rmf_battery,70,1,False,2019-08,2025-06,Organization,True,False,False,True,12,64,4,7
open-rmf/rmf_building_map_msgs,67,1,False,2019-11,2025-06,Organization,True,False,False,True,7,28,2,4
open-rmf/rmf_cmake_uncrustify,22,1,False,2019-08,2021-06,Organization,True,False,False,True,5,13,0,1
open-rmf/rmf_demos,73,0,True,2020-02,2026-02,Organization,True,True,False,True,31,498,476,141
open-rmf/rmf_internal_msgs,71,1,False,2019-08,2025-07,Organization,True,True,False,True,16,170,14,28
open-rmf/rmf_ros2,79,0,True,2019-08,2026-03,Organization,True,True,False,True,29,630,104,89
open-rmf/rmf_simulation,64,0,True,2020-11,2026-03,Organization,True,True,False,True,14,110,18,24
open-rmf/rmf_task,79,0,True,2019-08,2026-02,Organization,True,False,False,True,14,134,26,25
open-rmf/rmf_traffic,79,0,True,2019-08,2026-02,Organization,True,True,False,True,18,520,33,33
open-rmf/rmf_traffic_editor,77,0,True,2019-10,2025-09,Organization,True,False,False,True,31,1025,160,75
open-rmf/rmf_utils,71,1,False,2019-08,2025-07,Organization,True,True,False,True,11,95,1,9
open-rmf/rmf_variants,12,1,False,2023-06,2024-06,Organization,True,False,False,True,1,8,0,0
open-rmf/rmf_visualization,76,0,True,2019-11,2026-01,Organization,True,False,False,True,16,305,26,20
open-rmf/rmf_visualization_msgs,67,1,False,2019-11,2025-06,Organization,False,False,False,True,5,19,2,4
open-rmf/stubborn_buddies,45,1,False,2021-04,2025-01,Organization,True,False,False,True,2,9,1,1
orbbec/OrbbecSDK_ROS2,45,0,True,2022-06,2026-03,Organization,True,False,False,True,10,1248,249,127
osrf/nodl_to_policy,49,1,False,2021-06,2025-07,Organization,True,True,False,True,3,44,0,1
osrf/osrf_pycommon,142,0,True,2014-05,2026-01,Organization,True,False,False,False,21,196,8,21
osrf/osrf_testing_tools_cpp,107,0,True,2017-04,2026-01,Organization,True,False,False,True,22,123,38,33
osrf/ros2launch_security,7,1,False,2021-01,2021-08,Organization,False,True,False,True,3,24,2,3
ouster-lidar/ouster-ros,94,0,True,2018-05,2026-03,Organization,True,False,False,True,19,174,184,221
p2p-industries/hyveos_ros,1,1,False,2025-01,2025-01,Organization,True,False,False,True,2,6,0,0
p2p-industries/hyveos_ros_msgs,1,1,False,2025-01,2025-01,Organization,True,False,False,True,1,7,0,0
pal-robotics/aruco_ros,145,0,True,2014-02,2025-12,Organization,True,False,False,False,19,196,572,339
pal-robotics/backward_ros,156,0,True,2013-03,2026-01,Organization,True,False,False,True,26,196,240,34
pal-robotics/hey5_description,110,1,False,2014-10,2023-12,Organization,True,True,False,False,6,92,3,2
pal-robotics/launch_pal,61,0,True,2021-02,2026-03,Organization,True,True,False,True,16,355,3,6
pal-robotics/mujoco_vendor,20,0,True,2024-07,2026-03,Organization,True,False,False,True,2,36,11,1
pal-robotics/omni_base_navigation,54,0,True,2021-09,2026-02,Organization,False,False,False,True,4,293,0,1
pal-robotics/omni_base_robot,54,0,True,2021-09,2026-01,Organization,False,False,False,True,6,345,10,11
pal-robotics/omni_base_simulation,54,0,True,2021-09,2025-12,Organization,True,False,False,True,4,169,8,2
pal-robotics/pal_gazebo_plugins,155,0,True,2013-04,2026-01,Organization,True,True,False,False,9,175,2,22
pal-robotics/pal_gazebo_worlds,101,0,True,2017-10,2026-01,Organization,False,True,False,True,7,333,19,13
pal-robotics/pal_gripper,117,0,True,2016-06,2026-02,Organization,True,False,False,False,12,206,5,12
pal-robotics/pal_hey5,128,1,False,2014-10,2025-06,Organization,True,True,False,True,11,124,3,1
pal-robotics/pal_maps,23,0,True,2024-04,2025-12,Organization,False,True,False,True,0,45,1,2
pal-robotics/pal_navigation_cfg_public,53,1,False,2019-06,2023-11,Organization,False,False,False,True,8,142,0,6
pal-robotics/pal_pro_gripper,33,0,True,2023-06,2026-02,Organization,True,False,False,True,12,255,0,1
pal-robotics/pal_robotiq_gripper,25,1,False,2021-04,2023-05,Organization,False,False,False,True,5,155,3,2
pal-robotics/pal_sea_arm,39,0,True,2022-12,2026-02,Organization,False,False,False,True,13,480,1,1
pal-robotics/pal_sea_arm_moveit_config,19,1,False,2023-09,2025-04,Organization,True,True,False,True,7,52,0,2
pal-robotics/pal_sea_arm_simulation,30,0,True,2023-09,2025-10,Organization,True,False,False,True,7,37,0,0
pal-robotics/pal_statistics,105,0,True,2017-06,2026-02,Organization,True,False,False,True,9,337,66,15
pal-robotics/pal_urdf_utils,95,0,True,2018-04,2026-01,Organization,False,True,False,True,10,143,1,4
pal-robotics/play_motion2,41,0,True,2022-10,2026-02,Organization,True,False,False,True,8,407,31,10
pal-robotics/play_motion_builder,66,0,True,2020-09,2026-01,Organization,True,False,False,True,6,62,20,3
pal-robotics/pmb2_navigation,169,0,True,2012-02,2026-02,Organization,False,False,False,False,13,1020,4,5
pal-robotics/pmb2_robot,174,0,True,2011-09,2026-01,Organization,True,False,False,False,19,1009,23,24
pal-robotics/pmb2_simulation,174,0,True,2011-09,2025-12,Organization,True,True,False,False,14,549,8,4
pal-robotics/talos_moveit_config,100,1,False,2016-10,2025-02,Organization,False,False,False,True,5,54,1,1
pal-robotics/talos_robot,116,0,True,2016-07,2026-02,Organization,False,False,False,True,16,889,25,18
pal-robotics/talos_simulation,116,0,True,2016-07,2025-09,Organization,False,False,False,True,7,165,8,2
pal-robotics/tiago_moveit_config,136,0,True,2014-11,2026-01,Organization,True,True,False,False,14,291,6,17
pal-robotics/tiago_navigation,169,0,True,2012-02,2025-12,Organization,False,False,False,False,14,808,6,12
pal-robotics/tiago_pro_head_robot,17,0,True,2024-10,2025-12,Organization,False,False,False,True,8,110,0,1
pal-robotics/tiago_pro_head_simulation,17,0,True,2024-10,2025-10,Organization,False,False,False,True,3,18,1,0
pal-robotics/tiago_pro_moveit_config,39,0,True,2022-12,2026-02,Organization,False,True,False,True,12,135,0,3
pal-robotics/tiago_pro_navigation,25,0,True,2024-02,2025-12,Organization,False,False,False,True,2,131,0,0
pal-robotics/tiago_pro_robot,39,0,True,2022-12,2026-02,Organization,False,False,False,True,13,816,5,2
pal-robotics/tiago_pro_simulation,39,0,True,2022-12,2026-02,Organization,False,False,False,True,11,188,1,2
pal-robotics/tiago_robot,137,0,True,2014-10,2026-01,Organization,True,False,False,False,20,1495,64,48
pal-robotics/tiago_simulation,136,0,True,2014-11,2026-02,Organization,True,False,False,False,22,569,89,49
pal-robotics/urdf_test,104,0,True,2017-07,2026-03,Organization,True,True,False,True,4,48,1,0
pantor/ruckig,63,0,True,2020-12,2026-03,User,True,False,False,False,15,561,1141,233
polymathrobotics/replay_testing,16,0,True,2024-11,2026-02,Organization,True,False,False,True,5,65,26,3
pradyum/dual_laser_merger,16,0,True,2024-11,2026-03,User,True,True,False,True,1,64,18,11
qleonardolp/kinematic_pose_msgs,1,1,False,2025-06,2025-06,User,True,True,False,True,1,4,0,0
realsenseai/librealsense,128,0,True,2015-07,2026-03,Organization,True,True,True,False,303,21139,8543,4970
realsenseai/realsense-ros,120,0,True,2016-03,2026-03,Organization,True,True,False,False,92,2156,3222,1943
reductstore/reductstore_agent,11,0,True,2025-04,2026-02,Organization,True,True,False,True,4,318,12,1
rfzeg/wall_follower_ros2,17,1,False,2022-07,2023-12,User,True,False,False,True,1,18,3,2
roboception/rc_common_msgs_ros2,63,1,False,2020-03,2025-06,Organization,True,False,False,True,2,15,0,0
roboception/rc_dynamics_api,85,1,False,2017-02,2024-03,Organization,True,False,False,True,6,158,3,2
roboception/rc_genicam_api,109,0,True,2017-02,2026-01,Organization,True,False,False,False,7,435,136,45
roboception/rc_genicam_driver_ros2,62,0,True,2021-01,2026-02,Organization,True,False,False,True,4,63,6,1
roboception/rc_reason_clients_ros2,70,0,True,2020-05,2026-02,Organization,True,False,False,True,5,91,2,0
roboception/rcdiscover,86,1,False,2017-05,2024-07,Organization,True,False,False,False,4,260,12,8
robosoft-ai/SMACC2,66,0,True,2020-09,2026-02,Organization,True,True,False,True,8,477,342,48
robosoft-ai/ai_prompt_msgs,1,1,False,2024-06,2024-07,Organization,True,False,False,True,2,9,0,3
robosoft-ai/robosoft_openai,13,1,False,2024-06,2025-07,Organization,True,False,False,True,2,9,4,4
robotic-esp/canboat_vendor,3,1,False,2025-05,2025-08,Organization,True,False,False,True,1,36,1,0
robotont/robotont_driver,73,0,True,2020-02,2026-02,Organization,True,False,False,True,12,143,2,3
robotraconteur/robotraconteur,90,0,True,2018-09,2026-03,Organization,True,False,False,True,3,1169,75,11
robotraconteur/robotraconteur_companion,79,0,True,2019-08,2026-02,Organization,True,False,False,True,3,123,1,2
ros-acceleration/adaptive_component,42,1,False,2021-11,2025-05,Organization,True,False,False,True,2,15,12,6
ros-acceleration/ament_hardware_acceleration,12,1,False,2021-10,2022-10,Organization,True,False,False,True,1,4,0,2
ros-acceleration/ament_vitis,30,1,False,2021-02,2023-08,Organization,True,False,False,True,1,46,9,9
ros-acceleration/ros2acceleration,47,1,False,2021-08,2025-07,Organization,True,False,False,True,1,12,0,3
ros-acceleration/tracetools_acceleration,7,1,False,2021-10,2022-05,Organization,True,False,False,True,2,12,0,3
ros-acceleration/vitis_common,12,1,False,2021-09,2022-09,Organization,False,False,False,True,2,19,0,6
ros-controls/control_msgs,183,0,True,2010-12,2026-03,Organization,True,False,False,False,35,257,72,78
ros-controls/control_toolbox,159,0,True,2012-12,2026-03,Organization,True,False,False,True,42,512,172,119
ros-controls/gz_ros2_control,60,0,True,2021-03,2026-03,Organization,True,False,False,True,45,353,229,141
ros-controls/kinematics_interface,45,0,True,2022-06,2026-03,Organization,True,False,False,True,13,147,43,22
ros-controls/mujoco_ros2_control,10,0,True,2025-05,2026-03,Organization,True,False,False,True,13,208,127,21
ros-controls/realtime_tools,159,0,True,2012-12,2026-03,Organization,True,False,False,True,35,415,178,93
ros-controls/ros2_control,102,0,True,2017-09,2026-03,Organization,True,False,False,True,136,1311,814,404
ros-controls/ros2_control_cmake,13,0,True,2025-02,2026-03,Organization,True,False,False,True,3,36,3,4
ros-controls/ros2_controllers,102,0,True,2017-09,2026-03,Organization,True,False,False,True,140,1007,676,457
ros-controls/topic_based_hardware_interfaces,9,0,True,2025-06,2026-03,Organization,True,False,False,True,6,44,7,3
ros-drivers/ackermann_msgs,161,1,False,2012-02,2025-07,Organization,True,False,False,False,5,37,44,37
ros-drivers/axis_camera,161,0,True,2012-10,2025-11,Organization,True,False,False,False,13,122,58,78
ros-drivers/flir_camera_driver,94,0,True,2018-05,2026-02,Organization,True,False,False,True,23,245,194,179
ros-drivers/four_wheel_steering_msgs,56,1,False,2017-04,2021-12,Organization,True,False,False,False,3,10,12,8
ros-drivers/gscam,191,0,True,2010-04,2026-02,Organization,True,False,False,False,10,108,161,191
ros-drivers/joystick_drivers,201,0,True,2009-06,2026-03,Organization,True,False,False,False,37,540,262,321
ros-drivers/mocap_optitrack,179,0,True,2011-04,2025-09,Organization,False,False,False,True,11,82,111,149
ros-drivers/nmea_msgs,143,1,False,2013-07,2025-06,Organization,True,False,False,False,7,24,37,28
ros-drivers/nmea_navsat_driver,152,0,True,2013-07,2026-02,Organization,True,False,False,False,16,70,274,299
ros-drivers/openni2_camera,155,0,True,2013-04,2025-11,Organization,True,False,False,False,27,244,67,101
ros-drivers/phidgets_drivers,164,0,True,2012-07,2025-10,Organization,True,False,False,False,23,399,50,62
ros-drivers/ros2_ouster_drivers,56,1,False,2019-12,2024-08,User,True,False,False,True,16,88,147,82
ros-drivers/transport_drivers,79,0,True,2019-08,2026-02,Organization,True,True,False,True,12,91,116,78
ros-drivers/urg_c,135,1,False,2010-05,2021-08,Organization,True,False,False,False,7,282,12,32
ros-drivers/urg_node,147,1,False,2013-02,2025-05,Organization,True,False,False,False,14,124,116,156
ros-drivers/urg_node_msgs,88,1,False,2017-06,2024-10,Organization,True,False,False,True,7,23,1,6
ros-drivers/usb_cam,164,0,True,2012-07,2026-03,Organization,True,True,False,False,39,494,683,673
ros-drivers/velodyne,194,0,True,2010-01,2026-01,Organization,True,True,False,False,52,721,711,684
ros-drivers/zbar_ros,134,0,True,2015-01,2025-11,Organization,True,False,False,False,9,79,60,60
ros-event-camera/event_camera_codecs,42,0,True,2022-09,2026-01,Organization,True,True,False,True,2,72,4,4
ros-event-camera/event_camera_msgs,46,0,True,2022-05,2025-12,Organization,True,True,False,True,1,21,12,3
ros-event-camera/event_camera_py,41,0,True,2022-10,2025-11,Organization,True,True,False,True,3,70,10,3
ros-event-camera/event_camera_renderer,42,0,True,2022-09,2025-12,Organization,True,True,False,True,2,49,15,7
ros-event-camera/event_camera_tools,44,0,True,2022-07,2026-02,Organization,True,True,False,True,3,75,9,4
ros-event-camera/frequency_cam,42,0,True,2022-09,2025-11,Organization,True,True,False,True,1,61,22,5
ros-event-camera/libcaer_driver,28,0,True,2023-11,2025-12,Organization,True,True,False,True,3,53,8,5
ros-event-camera/libcaer_vendor,1,1,False,2024-05,2024-05,Organization,True,False,False,True,1,2,0,1
ros-event-camera/metavision_driver,56,0,True,2021-07,2026-02,Organization,True,True,False,True,5,203,60,17
ros-event-camera/openeb_vendor,22,0,True,2024-05,2025-12,Organization,True,False,False,True,1,13,0,0
ros-geographic-info/geographic_info,177,0,True,2011-06,2026-02,Organization,True,False,False,False,12,218,77,67
ros-industrial/reach,108,0,True,2017-03,2025-10,Organization,True,False,False,True,9,206,106,28
ros-industrial/reach_ros2,108,0,True,2017-03,2025-09,Organization,True,False,False,True,11,270,31,14
ros-industrial/ros2_canopen,50,0,True,2022-01,2026-03,Organization,True,False,False,True,29,688,248,114
ros-industrial/ros_canopen,131,1,False,2014-05,2025-04,Organization,True,True,False,False,24,1139,371,280
ros-industrial/stomp,151,0,True,2013-08,2026-01,Organization,True,True,False,True,21,670,29,8
ros-industrial/ur_msgs,140,0,True,2014-07,2026-03,Organization,True,True,False,True,11,91,23,36
ros-misc-utilities/apriltag_detector,39,0,True,2022-12,2025-12,Organization,True,False,False,True,3,28,20,7
ros-misc-utilities/apriltag_mit,152,1,False,2012-10,2025-06,Organization,True,False,False,True,2,35,7,2
ros-misc-utilities/ffmpeg_encoder_decoder,19,0,True,2024-08,2025-11,Organization,True,True,False,True,2,24,10,6
ros-misc-utilities/ffmpeg_image_transport,37,0,True,2023-02,2025-10,Organization,True,True,False,True,7,68,125,36
ros-misc-utilities/ffmpeg_image_transport_msgs,37,0,True,2023-02,2025-10,Organization,True,True,False,True,1,13,0,4
ros-misc-utilities/ffmpeg_image_transport_tools,17,1,False,2024-03,2025-08,Organization,True,True,False,True,1,31,7,4
ros-misc-utilities/flex_sync,14,1,False,2024-03,2025-05,Organization,True,True,False,True,1,13,26,3
ros-misc-utilities/foxglove_compressed_video_transport,19,0,True,2024-08,2025-10,Organization,True,True,False,True,4,12,11,9
ros-naoqi/nao_meshes2,20,1,False,2022-09,2024-05,Organization,True,False,False,True,3,18,2,1
ros-naoqi/naoqi_bridge_msgs2,34,1,False,2022-09,2025-07,Organization,True,False,False,True,2,16,2,3
ros-naoqi/naoqi_driver2,134,0,True,2015-01,2026-02,Organization,True,False,False,True,20,962,18,16
ros-naoqi/pepper_meshes2,32,1,False,2022-09,2025-05,Organization,True,False,False,True,2,20,3,2
ros-navigation/nav2_minimal_turtlebot_simulation,22,0,True,2024-05,2025-10,Organization,True,False,False,True,8,30,25,19
ros-navigation/navigation2,93,0,True,2018-06,2026-03,Organization,True,True,False,True,344,3476,3945,1728
ros-perception/depthimage_to_laserscan,159,0,True,2012-12,2026-02,Organization,True,True,False,False,11,83,292,185
ros-perception/image_common,198,0,True,2009-09,2026-03,Organization,False,False,False,False,68,534,145,245
ros-perception/image_pipeline,199,0,True,2009-08,2026-02,Organization,True,True,False,True,117,1248,930,774
ros-perception/image_transport_plugins,198,0,True,2009-09,2026-01,Organization,True,False,False,False,31,277,74,134
ros-perception/imu_pipeline,159,0,True,2012-12,2025-09,Organization,True,False,False,False,13,76,126,49
ros-perception/laser_filters,198,0,True,2009-09,2026-01,Organization,False,False,False,False,49,392,218,219
ros-perception/laser_geometry,198,0,True,2009-09,2025-11,Organization,False,True,False,False,37,199,162,118
ros-perception/laser_proc,146,1,False,2013-03,2025-05,Organization,True,False,False,False,5,24,8,18
ros-perception/pcl_msgs,160,0,True,2012-11,2026-02,Organization,True,False,False,False,9,27,11,26
ros-perception/perception_open3d,68,0,True,2020-07,2025-11,Organization,True,False,False,True,5,13,170,35
ros-perception/perception_pcl,162,0,True,2012-09,2026-02,Organization,True,False,False,False,68,468,465,368
ros-perception/point_cloud_transport,80,0,True,2019-07,2026-02,Organization,True,True,False,True,14,205,102,16
ros-perception/pointcloud_to_laserscan,129,0,True,2015-06,2025-10,Organization,True,False,False,False,10,41,559,365
ros-perception/vision_msgs,106,0,True,2017-05,2026-01,Organization,True,True,False,False,21,122,179,85
ros-perception/vision_opencv,201,0,True,2009-06,2025-12,Organization,True,False,False,False,61,844,649,640
ros-planning/navigation_msgs,161,0,True,2012-10,2026-01,Organization,True,False,False,False,16,60,45,51
ros-simulation/simulation_interfaces,15,0,True,2024-12,2026-03,Organization,True,False,False,True,9,44,126,14
ros-sports/game_controller_spl,38,1,False,2022-05,2025-07,Organization,True,True,False,True,3,117,4,3
ros-sports/nao_lola,43,1,False,2021-07,2025-02,Organization,True,True,False,True,2,111,11,8
ros-sports/r2r_spl,45,0,True,2022-06,2025-11,Organization,True,True,False,True,2,68,2,1
ros-sports/rcss3d_agent,41,1,False,2022-01,2025-06,Organization,True,True,False,True,3,97,4,1
ros-sports/rcss3d_nao,41,1,False,2022-01,2025-06,Organization,True,True,False,True,2,75,3,1
ros-sports/ros_image_to_qimage,51,0,True,2021-12,2026-02,Organization,True,True,False,True,2,69,3,6
ros-sports/rqt_image_overlay,53,0,True,2021-10,2026-02,Organization,True,True,False,True,5,198,13,6
ros-sports/soccer_interfaces,41,1,False,2021-09,2025-02,Organization,True,False,False,True,4,124,10,3
ros-sports/soccer_vision_3d_rviz_markers,32,1,False,2022-06,2025-02,Organization,True,True,False,True,5,77,4,2
ros-sports/vision_msgs_layers,38,1,False,2022-04,2025-06,Organization,True,True,False,True,2,32,2,1
ros-teleop/teleop_tools,151,0,True,2013-08,2026-01,Organization,True,False,False,True,29,191,222,157
ros-teleop/twist_mux,136,0,True,2014-11,2026-03,Organization,True,True,False,False,11,52,72,118
ros-teleop/twist_mux_msgs,104,1,False,2014-11,2023-07,Organization,True,True,False,False,2,19,2,8
ros-tooling/graph-monitor,17,0,True,2024-10,2026-02,Organization,True,False,False,True,3,48,31,6
ros-tooling/keyboard_handler,58,0,True,2021-05,2026-02,Organization,True,True,False,True,14,75,13,7
ros-tooling/launch_frontend_py,10,0,True,2025-05,2025-10,Organization,True,True,False,True,1,15,14,0
ros-tooling/libstatistics_collector,71,0,True,2020-04,2026-03,Organization,True,True,False,True,22,176,38,23
ros-tooling/rosbag2_broll,29,0,True,2023-10,2025-11,Organization,True,False,False,True,2,26,2,1
ros-tooling/topic_tools,59,0,True,2021-04,2025-12,Organization,True,True,False,True,25,86,126,46
ros-tracing/tracetools_analysis,81,0,True,2019-06,2025-11,Organization,True,False,False,True,4,534,28,16
ros-visualization/interactive_marker_twist_server,171,1,False,2011-02,2025-05,Organization,True,True,False,False,15,209,5,25
ros-visualization/interactive_markers,178,0,True,2011-05,2025-11,Organization,False,True,False,False,32,216,40,64
ros-visualization/python_qt_binding,170,0,True,2012-01,2026-02,Organization,True,True,False,False,34,226,34,62
ros-visualization/qt_gui_core,173,0,True,2011-10,2026-02,Organization,False,False,False,False,45,890,40,82
ros-visualization/rqt,173,0,True,2011-10,2026-03,Organization,False,False,False,False,30,1111,74,75
