repository,time_months,event,is_alive,first_month,last_activity_month,owner_type,has_readme,has_contributing,has_code_of_conduct,has_newcomer_labels,contributors_count,commits_count,stars,forks
ros-visualization/rqt_action,173,0,True,2011-10,2025-09,Organization,False,False,False,False,17,129,1,5
ros-visualization/rqt_bag,173,0,True,2011-10,2026-03,Organization,False,False,False,False,44,431,32,58
ros-visualization/rqt_common_plugins,162,1,False,2011-10,2025-04,Organization,False,False,False,False,51,1424,46,133
ros-visualization/rqt_console,173,0,True,2011-10,2026-02,Organization,False,True,False,False,20,331,1,20
ros-visualization/rqt_graph,173,0,True,2011-10,2026-02,Organization,False,True,False,False,34,252,30,33
ros-visualization/rqt_image_view,173,0,True,2011-10,2026-02,Organization,False,True,False,False,33,235,28,65
ros-visualization/rqt_moveit,163,1,False,2011-10,2025-05,Organization,False,False,False,False,7,125,0,3
ros-visualization/rqt_msg,173,0,True,2011-10,2026-02,Organization,False,False,False,False,16,186,0,8
ros-visualization/rqt_plot,173,0,True,2011-10,2026-02,Organization,False,True,False,False,35,334,16,47
ros-visualization/rqt_publisher,173,0,True,2011-10,2026-03,Organization,False,True,False,False,26,236,3,22
ros-visualization/rqt_py_console,173,0,True,2011-10,2025-10,Organization,False,True,False,False,16,175,1,9
ros-visualization/rqt_reconfigure,173,0,True,2011-10,2026-02,Organization,False,True,False,False,35,344,26,53
ros-visualization/rqt_robot_dashboard,161,0,True,2012-10,2026-01,Organization,True,False,False,False,12,150,12,9
ros-visualization/rqt_robot_monitor,156,1,False,2012-07,2025-07,Organization,False,False,False,False,11,208,12,21
ros-visualization/rqt_robot_steering,164,0,True,2012-07,2025-12,Organization,True,True,False,False,12,110,12,29
ros-visualization/rqt_runtime_monitor,151,1,False,2012-10,2025-05,Organization,False,False,False,False,10,106,6,14
ros-visualization/rqt_service_caller,173,0,True,2011-10,2026-02,Organization,False,True,False,False,20,173,9,11
ros-visualization/rqt_shell,173,0,True,2011-10,2025-09,Organization,False,True,False,False,18,173,0,8
ros-visualization/rqt_srv,173,0,True,2011-10,2025-09,Organization,False,False,False,False,13,151,0,5
ros-visualization/rqt_tf_tree,164,0,True,2012-07,2025-09,Organization,False,False,False,False,10,138,15,22
ros-visualization/rqt_topic,173,0,True,2011-10,2026-01,Organization,False,True,False,False,21,223,4,22
ros-visualization/tango_icons_vendor,87,0,True,2018-12,2025-10,Organization,False,True,False,True,8,34,1,2
ros/angles,164,0,True,2012-07,2026-02,Organization,True,False,False,False,15,82,67,48
ros/bond_core,198,0,True,2009-09,2026-02,Organization,True,False,False,False,26,585,42,72
ros/class_loader,163,0,True,2012-08,2026-02,Organization,True,True,False,False,35,299,43,96
ros/diagnostics,211,0,True,2008-08,2026-02,Organization,True,False,False,False,61,1178,148,202
ros/eigen_stl_containers,151,1,False,2012-08,2025-03,Organization,False,False,False,False,8,40,6,13
ros/executive_smach,178,1,False,2010-07,2025-05,Organization,True,False,False,False,26,241,182,148
ros/filters,198,0,True,2009-09,2025-09,Organization,True,False,False,False,21,181,43,55
ros/geometry_tutorials,178,1,False,2010-09,2025-07,Organization,False,True,False,False,18,148,36,54
ros/joint_state_publisher,198,0,True,2009-09,2026-02,Organization,False,False,False,True,48,818,59,93
ros/kdl_parser,198,0,True,2009-09,2025-10,Organization,True,True,False,False,48,825,82,79
ros/pluginlib,198,0,True,2009-09,2026-02,Organization,False,True,False,False,41,361,64,105
ros/resource_retriever,198,0,True,2009-09,2026-02,Organization,False,False,False,False,25,219,11,42
ros/robot_state_publisher,163,0,True,2012-08,2026-01,Organization,True,True,False,False,49,257,115,180
ros/ros_environment,90,1,False,2018-01,2025-07,Organization,False,True,False,True,10,40,2,20
ros/ros_tutorials,198,0,True,2009-09,2026-02,Organization,False,False,False,False,36,399,910,577
ros/sdformat_urdf,70,0,True,2020-05,2026-02,Organization,True,False,False,True,10,43,50,16
ros/urdf_launch,34,0,True,2023-05,2026-02,Organization,True,False,False,True,3,18,41,13
ros/urdf_parser_py,168,0,True,2012-03,2026-01,Organization,True,False,False,False,23,140,106,56
ros/urdf_sim_tutorial,106,0,True,2017-05,2025-11,Organization,True,False,False,True,5,22,92,49
ros/urdf_tutorial,187,0,True,2010-08,2026-02,Organization,True,False,False,False,17,97,287,271
ros/urdfdom,198,0,True,2009-09,2026-03,Organization,True,False,False,False,45,824,122,148
ros/xacro,198,0,True,2009-09,2026-02,Organization,True,False,False,False,36,612,113,105
ros2-gbp/mavlink-gbp-release,141,0,True,2014-06,2025-12,Organization,True,False,False,True,12,1294,1,5
ros2-rust/rosidl_rust,97,0,True,2018-02,2026-03,Organization,True,False,False,True,13,66,1,10
ros2/ament_cmake_ros,110,0,True,2017-01,2025-12,Organization,False,True,False,True,25,89,7,13
ros2/common_interfaces,129,0,True,2015-06,2026-03,Organization,True,False,False,True,58,308,341,145
ros2/console_bridge_vendor,84,1,False,2018-07,2025-07,Organization,True,True,False,True,16,53,1,11
ros2/demos,128,0,True,2015-07,2026-03,Organization,True,True,False,True,82,771,615,354
ros2/domain_bridge,61,0,True,2021-02,2025-12,Organization,True,True,False,True,8,58,81,19
ros2/eigen3_cmake_module,72,1,False,2019-07,2025-07,Organization,True,True,False,True,9,22,16,3
ros2/example_interfaces,121,1,False,2015-06,2025-07,Organization,True,True,False,True,18,78,80,32
ros2/examples,140,0,True,2014-07,2026-03,Organization,True,True,False,True,47,577,894,354
ros2/geometry2,198,0,True,2009-09,2026-02,Organization,False,False,False,True,146,1873,146,237
ros2/launch,132,0,True,2015-03,2026-03,Organization,True,True,False,True,82,640,151,163
ros2/launch_ros,132,0,True,2015-03,2026-03,Organization,False,True,False,True,71,509,78,94
ros2/libyaml_vendor,94,0,True,2018-05,2025-12,Organization,True,True,False,True,22,73,3,17
ros2/message_filters,185,0,True,2010-10,2026-03,Organization,True,True,False,True,65,464,108,88
ros2/mimick_vendor,68,0,True,2020-07,2026-01,Organization,True,True,False,True,15,73,2,18
ros2/orocos_kdl_vendor,50,0,True,2022-01,2026-02,Organization,True,True,False,True,11,68,5,8
ros2/performance_test_fixture,60,1,False,2020-07,2025-07,Organization,True,True,False,True,10,47,10,5
ros2/pybind11_vendor,81,0,True,2019-06,2025-11,Organization,False,False,False,True,14,49,5,6
ros2/python_cmake_module,108,1,False,2016-02,2025-02,Organization,False,True,False,True,16,54,5,4
ros2/rcl,133,0,True,2015-02,2026-03,Organization,True,True,False,True,101,1167,153,188
ros2/rcl_interfaces,131,0,True,2015-04,2026-03,Organization,True,True,False,True,37,247,58,58
ros2/rcl_logging,89,0,True,2018-10,2026-03,Organization,True,True,False,True,28,153,28,41
ros2/rclc,133,0,True,2015-02,2026-03,Organization,True,True,False,True,25,392,145,56
ros2/rclcpp,140,0,True,2014-07,2026-03,Organization,True,True,False,True,203,1970,721,507
ros2/rclpy,124,0,True,2015-11,2026-03,Organization,True,True,False,True,116,1046,434,276
ros2/rcpputils,85,0,True,2019-02,2025-11,Organization,True,True,False,True,41,213,36,56
ros2/rcutils,109,0,True,2017-02,2026-03,Organization,True,True,False,True,66,524,70,117
ros2/realtime_support,129,0,True,2015-06,2026-02,Organization,False,False,False,True,33,235,74,34
ros2/rmw,140,0,True,2014-07,2026-03,Organization,True,True,False,True,46,513,113,78
ros2/rmw_connextdds,65,0,True,2020-10,2026-02,Organization,True,False,False,True,32,421,61,37
ros2/rmw_cyclonedds,92,0,True,2018-07,2026-03,Organization,True,True,False,True,56,466,166,108
ros2/rmw_dds_common,78,0,True,2019-09,2026-02,Organization,True,True,False,True,27,118,14,27
ros2/rmw_fastrtps,130,0,True,2015-05,2026-03,Organization,True,True,False,True,74,712,192,133
ros2/rmw_gurumdds,74,1,False,2019-06,2025-08,Organization,True,True,False,True,10,268,13,12
ros2/rmw_implementation,140,0,True,2014-07,2026-02,Organization,False,True,False,True,54,367,24,56
ros2/rmw_zenoh,68,0,True,2020-07,2026-03,Organization,True,True,False,True,42,422,431,77
ros2/ros1_bridge,129,0,True,2015-06,2025-12,Organization,True,True,False,True,49,333,606,354
ros2/ros2_tracing,82,0,True,2019-05,2026-03,Organization,True,True,False,True,30,1144,237,69
ros2/ros2cli,105,0,True,2017-06,2026-03,Organization,True,True,False,True,96,715,242,208
ros2/ros2cli_common_extensions,68,0,True,2020-07,2025-12,Organization,False,True,False,True,15,29,2,7
ros2/ros_testing,75,1,False,2019-04,2025-07,Organization,True,False,False,True,14,37,18,6
ros2/ros_workspace,91,1,False,2017-05,2024-12,Organization,False,False,False,True,8,48,9,7
ros2/rosbag2,96,0,True,2018-03,2026-03,Organization,True,True,False,True,130,947,395,300
ros2/rosbag2_bag_v2,89,1,False,2018-03,2025-08,Organization,True,True,False,True,12,111,46,5
ros2/rosidl,140,0,True,2014-07,2026-03,Organization,True,True,False,True,86,1009,103,149
ros2/rosidl_core,43,0,True,2022-08,2026-02,Organization,True,True,False,True,10,21,2,4
ros2/rosidl_dds,129,1,False,2014-07,2025-04,Organization,False,True,False,True,20,185,8,9
ros2/rosidl_defaults,140,0,True,2014-07,2026-02,Organization,False,True,False,True,30,538,2,13
ros2/rosidl_dynamic_typesupport,36,0,True,2023-03,2025-11,Organization,True,False,False,True,9,31,5,7
ros2/rosidl_dynamic_typesupport_fastrtps,36,0,True,2023-03,2025-11,Organization,True,False,False,True,8,27,2,3
ros2/rosidl_python,140,0,True,2014-07,2026-03,Organization,False,True,False,True,51,787,24,56
ros2/rosidl_runtime_py,84,0,True,2019-03,2026-01,Organization,False,True,False,True,23,76,9,18
ros2/rosidl_typesupport,140,0,True,2014-07,2026-02,Organization,True,True,False,True,43,654,18,41
ros2/rosidl_typesupport_fastrtps,130,0,True,2015-05,2026-01,Organization,False,True,False,True,47,424,5,35
ros2/rpyutils,70,0,True,2020-05,2025-09,Organization,True,True,False,True,12,39,1,6
ros2/rviz,205,0,True,2009-02,2026-03,Organization,True,False,False,True,205,2800,430,275
ros2/spdlog_vendor,69,1,False,2019-09,2025-06,Organization,True,True,False,True,14,65,4,11
ros2/sros2,111,0,True,2016-12,2026-02,Organization,True,True,False,True,33,365,106,53
ros2/test_interface_files,130,0,True,2015-05,2025-11,Organization,False,True,False,True,20,114,4,14
ros2/tinyxml2_vendor,99,0,True,2017-12,2026-01,Organization,True,False,False,True,20,48,3,12
ros2/tinyxml_vendor,73,1,False,2017-03,2023-04,Organization,True,True,False,True,12,37,3,12
ros2/tlsf,115,1,False,2015-12,2025-07,Organization,False,False,False,True,12,51,7,6
ros2/unique_identifier_msgs,80,1,False,2018-11,2025-07,Organization,True,True,False,True,15,49,8,15
ros2/variants,92,0,True,2018-07,2025-10,Organization,True,False,False,True,18,54,10,12
ros2/yaml_cpp_vendor,99,0,True,2017-12,2025-12,Organization,False,False,False,True,24,75,1,16
ros4hri/hri_actions_msgs,49,0,True,2022-02,2025-11,Organization,True,False,False,True,4,60,0,1
ros4hri/hri_face_body_matcher,35,0,True,2023-04,2025-10,Organization,True,True,False,True,3,47,0,0
ros4hri/hri_face_detect,53,0,True,2021-10,2025-09,Organization,True,True,False,True,4,161,9,7
ros4hri/hri_msgs,94,0,True,2018-05,2025-09,Organization,True,True,False,True,5,182,5,9
ros4hri/hri_privacy_msgs,9,1,False,2024-02,2024-11,Organization,True,False,False,True,1,13,0,0
ros4hri/hri_rviz,52,0,True,2021-11,2026-02,Organization,True,True,False,True,4,86,21,3
ros4hri/human_description,25,1,False,2022-01,2024-02,Organization,True,True,False,True,1,11,8,5
ros4hri/libhri,53,0,True,2021-10,2026-02,Organization,True,True,False,True,7,227,4,6
rst-tu-dortmund/control_box_rst,49,1,False,2020-02,2024-03,Organization,True,False,False,True,3,43,64,24
rt-net/crane_plus,66,0,True,2020-09,2026-02,Organization,True,False,False,True,4,70,59,9
rt-net/raspimouse2,90,0,True,2018-09,2026-02,Organization,True,False,False,True,7,62,57,12
rt-net/raspimouse_description,73,0,True,2020-02,2026-02,Organization,True,True,False,True,3,43,21,4
rt-net/raspimouse_ros2_examples,73,0,True,2020-02,2026-02,Organization,True,True,False,True,4,67,86,10
rt-net/raspimouse_sim,114,0,True,2016-09,2026-02,Organization,True,False,False,True,4,107,46,29
rt-net/raspimouse_slam_navigation_ros2,52,0,True,2021-11,2026-02,Organization,True,False,False,True,2,15,24,3
rt-net/rt_manipulators_cpp,46,1,False,2021-10,2025-08,Organization,True,True,False,True,2,35,17,7
rt-net/rt_usb_9axisimu_driver,126,0,True,2015-09,2026-02,Organization,True,False,False,True,6,63,55,24
rudislabs/actuator_msgs,1,1,False,2023-04,2023-04,Organization,True,False,False,True,1,2,1,1
samsung-ros/ament_download,42,1,False,2019-10,2023-04,Organization,True,False,False,True,1,8,2,1
septentrio-gnss/septentrio_gnss_driver,67,0,True,2020-08,2026-03,Organization,True,False,False,True,10,1250,118,56
signetlabdei/rmw_desert,20,0,True,2024-07,2026-01,Organization,True,False,False,True,2,89,11,1
sloretz/rcl_logging_rcutils,5,1,False,2022-06,2022-11,User,True,False,False,True,1,1,1,0
snt-arg/lidar_situational_graphs,91,1,False,2018-01,2025-08,Organization,True,False,False,True,19,1352,305,34
snt-arg/situational_graphs_datasets,11,1,False,2023-07,2024-06,Organization,True,False,False,True,2,27,0,0
snt-arg/situational_graphs_msgs,5,1,False,2024-04,2024-09,Organization,True,False,False,True,2,11,0,1
snt-arg/situational_graphs_reasoning,15,1,False,2023-05,2024-08,Organization,True,False,False,True,3,68,2,1
snt-arg/situational_graphs_reasoning_msgs,18,1,False,2022-12,2024-06,Organization,True,False,False,True,4,26,0,0
snt-arg/situational_graphs_wrapper,11,1,False,2023-07,2024-06,Organization,True,False,False,True,2,19,0,0
snt-arg/unitree_ros,28,1,False,2023-03,2025-07,Organization,True,False,False,True,3,265,54,9
splintered-reality/py_trees,128,0,True,2015-07,2026-02,Organization,True,True,False,False,29,1427,574,182
splintered-reality/py_trees_js,81,0,True,2019-06,2025-11,Organization,True,False,False,False,2,130,20,3
splintered-reality/py_trees_ros,128,0,True,2015-07,2026-02,Organization,True,False,False,False,15,1244,213,45
splintered-reality/py_trees_ros_interfaces,85,0,True,2019-02,2025-11,Organization,True,False,False,False,2,48,0,3
splintered-reality/py_trees_ros_tutorials,85,0,True,2019-02,2025-11,Organization,True,False,False,False,2,87,16,8
splintered-reality/py_trees_ros_viewer,79,0,True,2019-08,2025-10,Organization,True,False,False,False,3,48,47,12
stack-of-tasks/eigenpy,140,0,True,2014-07,2026-03,Organization,True,False,False,False,28,2233,202,50
stack-of-tasks/eiquadprog,78,0,True,2019-09,2026-01,Organization,True,False,False,True,11,273,52,28
stack-of-tasks/pinocchio,139,0,True,2014-08,2026-03,Organization,True,False,False,False,72,9965,3126,501
stack-of-tasks/tsid,109,0,True,2017-02,2026-03,Organization,True,False,False,False,34,799,307,94
stereolabs/zed-ros2-interfaces,51,0,True,2021-12,2026-03,Organization,True,True,False,False,2,104,16,24
stevenlovegrove/Pangolin,184,0,True,2010-11,2026-03,User,True,False,False,False,70,2169,2685,899
stonier/ecl_core,149,1,False,2012-11,2025-04,User,True,False,False,False,9,390,88,75
stonier/ecl_lite,149,1,False,2012-11,2025-04,User,True,False,False,False,7,128,8,28
stonier/ecl_tools,137,1,False,2012-11,2024-04,User,True,False,False,False,3,84,1,16
suchetanrs/roadmap-explorer,10,0,True,2025-05,2025-10,User,True,False,False,True,1,74,44,6
swri-robotics/mapviz,135,0,True,2014-12,2026-01,Organization,True,False,False,False,32,896,473,158
swri-robotics/marti_common,135,0,True,2014-12,2026-01,Organization,True,False,False,False,28,725,54,71
swri-robotics/marti_messages,120,1,False,2014-12,2024-12,Organization,True,False,False,False,8,188,7,22
swri-robotics/novatel_gps_driver,123,1,False,2015-05,2025-08,Organization,True,False,False,False,21,220,176,138
swri-robotics/swri_console,126,0,True,2015-09,2026-02,Organization,True,False,False,False,12,160,56,23
synapticon/synapticon_ros2_control,15,0,True,2024-12,2026-02,Organization,True,False,False,True,5,199,8,11
teamspatzenhirn/rig_reconfigure,29,1,False,2022-12,2025-05,Organization,True,False,False,True,5,121,99,9
teamspatzenhirn/rviz_2d_overlay_plugins,43,0,True,2022-08,2025-11,Organization,True,False,False,True,6,75,73,20
tecgihan/tecgihan_driver,9,0,True,2025-06,2025-09,Organization,True,False,False,True,4,28,1,4
tesseract-robotics/boost_plugin_loader,45,0,True,2022-06,2025-11,Organization,True,False,False,True,4,75,4,8
tier4/caret_analyze,58,0,True,2021-05,2026-02,Organization,True,True,False,True,25,752,6,23
tier4/caret_analyze_cpp_impl,58,0,True,2021-05,2026-01,Organization,True,True,False,True,16,299,1,9
tier4/caret_trace,56,0,True,2021-07,2026-02,Organization,True,True,False,True,16,321,8,11
tier4/cudnn_cmake_module,1,1,False,2022-01,2022-01,Organization,True,True,False,True,0,4,2,2
tier4/hash_library_vendor,18,1,False,2021-08,2023-02,Organization,True,True,False,True,4,10,3,0
tier4/heaphook,26,1,False,2023-01,2025-03,Organization,True,False,False,True,4,40,25,5
tier4/nebula,51,0,True,2021-12,2026-03,Organization,True,False,False,True,38,295,100,86
tier4/osqp_vendor,65,0,True,2020-10,2026-01,Organization,True,True,False,True,4,21,5,7
tier4/ros2caret,58,0,True,2021-05,2026-01,Organization,True,True,False,True,17,275,4,10
tier4/sync_tooling_msgs,14,0,True,2025-01,2026-02,Organization,True,False,False,True,1,63,1,0
tier4/tensorrt_cmake_module,50,0,True,2022-01,2026-03,Organization,True,True,False,True,1,14,2,6
tilk/rtcm_msgs,67,1,False,2017-04,2022-11,User,False,False,False,False,3,17,11,23
trimble-oss/trimble_driver_ros,8,1,False,2024-11,2025-07,Organization,True,True,False,True,2,15,5,1
tu-darmstadt-ros-pkg/hector_rviz_overlay,55,0,True,2021-08,2026-01,Organization,True,False,False,True,1,28,16,4
turtlebot/turtlebot4,49,0,True,2022-02,2026-03,Organization,True,False,False,True,10,149,142,68
turtlebot/turtlebot4_desktop,32,1,False,2022-02,2024-10,Organization,True,False,False,True,4,36,7,9
turtlebot/turtlebot4_robot,49,0,True,2022-02,2025-09,Organization,True,False,False,True,7,131,35,25
turtlebot/turtlebot4_setup,41,1,False,2022-02,2025-07,Organization,True,True,False,True,4,68,31,5
turtlebot/turtlebot4_simulator,49,0,True,2022-02,2026-01,Organization,True,False,False,True,7,101,98,58
turtlebot/turtlebot4_tutorials,29,1,False,2022-05,2024-10,Organization,True,False,False,True,4,42,8,6
tuw-robotics/marker_msgs,79,1,False,2016-06,2023-01,Organization,True,False,False,False,2,36,2,8
tuw-robotics/tuw_geometry,109,1,False,2016-05,2025-06,Organization,True,False,False,False,6,158,7,11
tuw-robotics/tuw_msgs,106,1,False,2016-07,2025-05,Organization,True,False,False,False,14,289,6,11
tuw-robotics/tuw_robotics,16,0,True,2024-11,2025-09,Organization,True,False,False,True,3,23,1,0
ubuntu-robotics/ament_nodl,9,1,False,2020-01,2020-10,Organization,True,False,False,True,1,6,0,1
ubuntu-robotics/nodl,66,1,False,2020-01,2025-07,Organization,True,False,False,True,7,107,10,10
uleroboticsgroup/yasmin,55,0,True,2021-08,2026-01,Organization,True,False,False,True,22,576,240,44
umdlife/psdk_ros2,37,0,True,2023-02,2026-02,Organization,True,False,False,True,12,592,120,29
unisa-acg/inverse-dynamics-solver,11,0,True,2025-04,2026-02,Organization,True,False,False,True,3,55,28,3
uos/lvr2,214,0,True,2008-05,2026-02,Organization,True,False,False,True,58,8501,151,21
uwgraphics/mini_tof,16,0,True,2024-11,2025-11,Organization,True,False,False,True,2,31,4,2
uwgraphics/mini_tof_interfaces,4,1,False,2024-11,2025-03,Organization,True,False,False,True,1,11,1,0
vooon/ntpd_driver,141,0,True,2014-06,2026-02,User,True,True,False,False,2,68,18,7
vtalpaert/ardrone-ros2,16,0,True,2024-11,2026-01,User,True,False,False,True,2,45,1,1
vtalpaert/ros2-phone-sensors,16,0,True,2024-11,2025-12,User,True,False,False,True,1,50,4,0
wep21/aws_sdk_cpp_vendor,1,1,False,2023-08,2023-09,User,True,True,False,True,1,14,1,0
wep21/bag2_to_image,31,1,False,2022-07,2025-02,User,True,True,False,True,1,12,1,0
wep21/tinyspline_vendor,14,1,False,2023-03,2024-05,User,True,True,False,True,1,8,0,0
wep21/turbojpeg_compressed_image_transport,30,1,False,2022-11,2025-05,User,False,True,False,True,2,16,2,1
whill-labs/ros2_whill,69,0,True,2020-06,2025-11,Organization,True,False,False,True,2,20,28,20
whill-labs/ros2_whill_interfaces,7,1,False,2024-05,2024-12,Organization,True,False,False,True,1,6,3,2
yaswhar/yashar_turtle_chase,4,1,False,2025-04,2025-08,User,True,False,False,True,1,10,0,0
yukkysaito/multiple_topic_monitor,15,1,False,2024-04,2025-07,User,True,False,False,True,1,14,7,0
zengxiaolei/homing_local_planner,18,1,False,2023-11,2025-05,User,True,False,False,True,1,4,41,14
